cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
01/01/2006 00:00,3108 OCCIDENTAL DR,3,3C        ,1115,10851(A)VC TAKE VEH W/O OWNER,2404,38.55042047,-121.3914158
01/01/2006 00:00,2082 EXPEDITION WAY,5,5A        ,1512,459 PC  BURGLARY RESIDENCE,2204,38.47350069,-121.4901858
01/01/2006 00:00,4 PALEN CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404,38.65784584,-121.4621009
01/01/2006 00:00,22 BECKFORD CT,6,6C        ,1443,476 PC PASS FICTICIOUS CHECK,2501,38.50677377,-121.4269508
01/01/2006 00:00,3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED,2299,38.6374478,-121.3846125
01/01/2006 00:00,5301 BONNIEMAE WAY,6,6B        ,1084,530.5 PC USE PERSONAL ID INFO,2604,38.52697863,-121.4513383
01/01/2006 00:00,2217 16TH AVE,4,4A        ,957,459 PC  BURGLARY VEHICLE,2299,38.537173,-121.4875774
01/01/2006 00:00,3547 P ST,3,3C        ,853,484 PC   PETTY THEFT/INSIDE,2308,38.56433456,-121.4618826
01/01/2006 00:00,3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY BUSINESS,2203,38.6374478,-121.3846125
01/01/2006 00:00,1326 HELMSMAN WAY,1,1B        ,444,1708 US   THEFT OF MAIL,2310,38.60960217,-121.4918375
01/01/2006 00:00,2315 STOCKTON BLVD,6,6B        ,1005,ASSAULT WITH WEAPON - I RPT,7000,38.55426406,-121.4546045
01/01/2006 00:00,5112 63RD ST,6,6B        ,1088,530.5 PC USE PERSONAL ID INFO,2604,38.52816497,-121.4314528
01/01/2006 00:00,6351 DRIFTWOOD ST,4,4C        ,1261,SUSP PERS-NO CRIME - I RPT,7000,38.51092155,-121.5488201
01/01/2006 00:00,7721 COLLEGE TOWN DR,3,3C        ,888,530.5 PC USE PERSONAL ID INFO,2604,38.55611545,-121.4142729
01/01/2006 00:00,8460 ROVANA CIR,6,6C        ,1447,484G(B) PC ACCESS CARD FRAUD,2605,38.50398051,-121.3923987
01/01/2006 00:00,4856 11TH AVE,6,6B        ,1054,487(A) PC GRAND THEFT,2303,38.54152896,-121.4495097
01/01/2006 00:00,6033 69TH ST,6,6C        ,1403,TELEPEST -I RPT,7000,38.51657327,-121.4234749
01/01/2006 00:00,547 L ST,3,3M        ,742,487(A) GRAND THEFT-INSIDE,2308,38.58184562,-121.5011657
01/01/2006 00:00,3525 42ND ST,6,6A        ,1034,530.5 PC USE PERSONAL ID INFO,2604,38.54270763,-121.4572067
01/01/2006 00:00,5641 DORSET WAY,4,4C        ,1225,484J PC PUBLISH CARD INFO,2605,38.52459987,-121.5203609
01/01/2006 00:01,5551 REXLEIGH CT,5,5C        ,1661,459 PC  BURGLARY VEHICLE,2299,38.44659211,-121.4423777
01/01/2006 00:01,1896 ARDEN WAY,2,2C        ,628,484G(B) PC ACCESS CARD FRAUD,2605,38.59664183,-121.423349
01/01/2006 00:01,6168 RIVERSIDE BLVD,4,4C        ,1251,484 PC PETTY THEFT,2399,38.51512387,-121.5291027
01/01/2006 00:01,415 SEXTANT WAY,2,2A        ,213,459 PC  BURGLARY VEHICLE,2299,38.65660112,-121.4560449
01/01/2006 00:01,15 BASIN CT,5,5C        ,1654,TRAFFIC - I RPT,7000,38.44281523,-121.4095243
01/01/2006 00:01,3340 62ND ST,6,6B        ,1047,594(B)(1)PC  VANDALISM +$400,2999,38.5438039,-121.4332827
01/01/2006 00:01,4280 DEER HILL DR,5,5B        ,1616,484G(B) PC ACCESS CARD FRAUD,2605,38.47121906,-121.4547389
01/01/2006 00:01,2814 5TH ST,4,4A        ,923,484 PC  PETTY THEFT/ OUTSIDE,2309,38.5564521,-121.5123309
01/01/2006 00:01,1816 FLORIN RD,5,5A        ,1361,HARASSMENT - I RPT,7000,38.49535335,-121.4965602
01/01/2006 00:01,1260 BELL AVE,2,2A        ,235,484 PC PETTY THEFT,2399,38.64717373,-121.4375169
01/01/2006 00:01,7676 BRIDGEVIEW DR,4,4C        ,1294,LOST PROPERTY - I RPT,7000,38.47889498,-121.5354477
01/01/2006 00:01,3816 CYPRESS ST,2,2A        ,503,459 PC  BURGLARY RESIDENCE,2204,38.63734742,-121.444642
01/01/2006 00:01,1211 23RD ST,3,3B        ,747,484G(A)PC USE FORGED CARD,2605,38.57289613,-121.4767958
